fips,population
23025.0,50592
23027.0,39694
23029.0,31490
23031.0,206229
24001.0,70975
24003.0,576031
24005.0,828431
24005.0,602495
24510.0,828431
24510.0,602495
24009.0,92003
24011.0,33304
24013.0,168429
24015.0,102826
24017.0,161503
24019.0,31998
24021.0,255648
24023.0,29163
24025.0,253956
24027.0,323196
24029.0,19383
24031.0,1052567
24033.0,909308
24035.0,50251
24037.0,112664
24039.0,25675
24041.0,36968
24043.0,150926
24045.0,103195
24047.0,51823
25001.0,213413
25003.0,126348
25005.0,564022
25007.0,17352
25009.0,790638
25011.0,70963
25013.0,470406
25015.0,161355
25017.0,1614714
25019.0,11327
25021.0,705388
25023.0,518132
25025.0,807252
25027.0,830839
26001.0,10362
26003.0,9097
26005.0,117327
26007.0,28360
26009.0,23365
26011.0,15041
26013.0,8320
26015.0,61157
26017.0,103923
26019.0,17753
26021.0,154141
26023.0,43622
26025.0,134487
26027.0,51653
26029.0,26244
26031.0,25413
26033.0,37517
26035.0,30757
26037.0,79332
26039.0,13901
26041.0,35857
26043.0,25383
26045.0,109826
26047.0,33308
26049.0,406892
26051.0,25337
26053.0,15096
26055.0,92573
26057.0,40599
26059.0,45749
26061.0,36219
26063.0,31166
26065.0,292735
26067.0,64210
26069.0,25081
26071.0,11117
26073.0,70562
26075.0,158823
26077.0,264870
26079.0,17824
26081.0,653786
26083.0,2113
26085.0,11881
26087.0,88028
26089.0,21764
26091.0,98266
26093.0,191224
26095.0,6283
26097.0,10787
26099.0,874759
26101.0,24528
26103.0,66516
26105.0,29100
26107.0,43545
26109.0,22983
26111.0,83209
26113.0,15113
26115.0,150439
26117.0,63968
26119.0,9265
26121.0,173588
26123.0,48892
26125.0,1259201
26127.0,26625
26129.0,20952
26131.0,5795
26133.0,23341
26135.0,8276
26137.0,24665
26139.0,290494
26141.0,12738
26143.0,23884
26145.0,190800
26147.0,159337
26147.0,61043
26149.0,159337
26149.0,61043
26151.0,41182
26153.0,8068
26155.0,68192
26157.0,52516
26159.0,75448
26161.0,370963
26163.0,1753893
26165.0,33466
27001.0,15902
27003.0,353813
27005.0,34371
27007.0,46847
27009.0,40545
27011.0,4989
27013.0,67427
27015.0,25111
27017.0,35837
27019.0,103551
27021.0,29519
27023.0,11924
27025.0,55922
27027.0,63955
27029.0,8810
27031.0,5393
27033.0,11277
27035.0,64889
27037.0,425423
27039.0,20822
27041.0,37964
27043.0,13758
27045.0,21058
27047.0,30444
27049.0,46403
27051.0,6021
27053.0,1259428
27055.0,18578
27057.0,21332
27059.0,39966
27061.0,45108
27063.0,9911
27065.0,16207
27067.0,42855
27069.0,4248
27071.0,12440
27073.0,6658
27075.0,10658
27075.0,3758
27077.0,10658
27077.0,3758
27079.0,28494
27081.0,5673
27083.0,25629
27085.0,35873
27087.0,5519
27089.0,9390
27091.0,19785
27093.0,23141
27095.0,26139
27097.0,33169
27099.0,40011
27101.0,8276
27103.0,34220
27105.0,21924
27107.0,6475
27109.0,156277
27111.0,58812
27113.0,14178
27115.0,29483
27117.0,9047
27119.0,31529
27121.0,11097
27123.0,550210
27125.0,3999
27127.0,15249
27129.0,14612
27131.0,66523
27133.0,9414
27135.0,15150
27137.0,199754
27139.0,147381
27141.0,96036
27143.0,15028
27145.0,159256
27147.0,36803
27149.0,9753
27151.0,9345
27153.0,24582
27155.0,3308
27157.0,21645
27159.0,13773
27161.0,18691
27163.0,259201
27165.0,10980
27167.0,6254
27169.0,50825
27171.0,136349
27173.0,9795
28001.0,31192
28003.0,36925
28005.0,12326
28007.0,18365
28009.0,8271
28011.0,31333
28013.0,14436
28015.0,9911
28017.0,17171
28019.0,8278
28021.0,9002
28023.0,15604
28025.0,19386
28027.0,22628
28029.0,28543
28031.0,18853
28033.0,182001
28035.0,75036
28037.0,7788
28039.0,24250
28041.0,13586
28043.0,21055
28045.0,47334
28047.0,206650
28049.0,237085
28051.0,17622
28053.0,8257
28055.0,1308
28057.0,23517
28059.0,143277
28061.0,16428
