fips,County,State,Total_Confirmed,Total_Deaths
48199.0,Hardin,Texas,1864306.0,34566.0
48223.0,Hopkins,Texas,1006391.0,33600.0
48231.0,Hunt,Texas,2000394.0,51869.0
48257.0,Kaufman,Texas,4987762.0,76078.0
48259.0,Kendall,Texas,945882.0,19944.0
48277.0,Lamar,Texas,1898479.0,48637.0
48291.0,Liberty,Texas,2500883.0,58390.0
48293.0,Limestone,Texas,828151.0,21569.0
48299.0,Llano,Texas,478206.0,13619.0
48323.0,Maverick,Texas,3481144.0,109264.0
48331.0,Milam,Texas,783516.0,13443.0
48361.0,Orange,Texas,2721577.0,44750.0
48395.0,Robertson,Texas,631916.0,11956.0
48409.0,San Patricio,Texas,1468005.0,51095.0
48445.0,Terry,Texas,544499.0,16647.0
48451.0,Tom Green,Texas,5611281.0,84726.0
48471.0,Walker,Texas,3114946.0,45109.0
48481.0,Wharton,Texas,1350209.0,38718.0
48493.0,Wilson,Texas,1386051.0,22649.0
48005.0,Angelina,Texas,2851527.0,86615.0
48057.0,Calhoun,Texas,767423.0,7475.0
48239.0,Jackson,Texas,598213.0,10596.0
48255.0,Karnes,Texas,748888.0,11804.0
48317.0,Martin,Texas,199394.0,6189.0
48347.0,Nacogdoches,Texas,1589737.0,55929.0
48397.0,Rockwall,Texas,3499604.0,44602.0
48465.0,Val Verde,Texas,2562233.0,74919.0
48073.0,Cherokee,Texas,1451824.0,42127.0
48203.0,Harrison,Texas,1614041.0,36798.0
48221.0,Hood,Texas,2000153.0,39761.0
48337.0,Montague,Texas,630298.0,19965.0
48349.0,Navarro,Texas,1935387.0,43189.0
48381.0,Randall,Texas,5627843.0,90191.0
48419.0,Shelby,Texas,593491.0,22768.0
48427.0,Starr,Texas,3160554.0,101788.0
48441.0,Taylor,Texas,5104748.0,117082.0
48463.0,Uvalde,Texas,1164958.0,23270.0
48489.0,Willacy,Texas,999458.0,31208.0
48503.0,Young,Texas,668539.0,13499.0
48051.0,Burleson,Texas,699961.0,12391.0
48055.0,Caldwell,Texas,1765395.0,30674.0
48279.0,Lamb,Texas,718757.0,26523.0
48305.0,Lynn,Texas,203024.0,7205.0
48477.0,Washington,Texas,1199385.0,34453.0
48115.0,Dawson,Texas,583135.0,21385.0
48135.0,Ector,Texas,5752674.0,115364.0
48159.0,Franklin,Texas,240905.0,7700.0
48213.0,Henderson,Texas,1889384.0,54438.0
48273.0,Kleberg,Texas,896219.0,30698.0
48373.0,Polk,Texas,1134708.0,34483.0
